Gene Symbol
ATG10
DNAJC11
MATN1
FBXL5
ITIH5
KIAA0391
IL6R
NOMO1
UBE4B
DSC3
RAD51B
BDKRB2
PSAT1
ANKS4B
N4BP1
SMC4
ELOVL5
CASQ1
NUTM2A
ATIC
SYNPO
ATP10D
SERAC1
ARHGEF3
DEFB104A
NFS1
DPYD
CLSTN3
LRRN2
SOCS4
PPP1R1C
SOX2
FXN
LYPD3
JUP
RANBP6
ATG9A
HMGCL
PTPN18
MAGEA12
STK11IP
ASPM
SHC1
CRYBG1
IL17RB
CARF
STX6
FRMD3
ASCL1
CCHCR1
TARP
GAS6
RBM4
PXDN
ASTL
TNFRSF10B
TP53INP1
MNAT1
RNASET2
VASN
PRKG2
KIF16B
SPZ1
TUBB4B
EIF4E
ACP1
GRM5
KRT18
KY
SRR
HDGFL3
ANKRD30A
CIC
CTNS
IL7R
SNAP91
PLIN1
NSD3
GREM2
SSX2B
KCNK13
TMEM165
PNISR
CELF4
FSCN2
EFNB3
BHMT2
RNF41
ZNF462
PRSS22
LAIR1
MYO3B
SFRP2
HLA-DPA1
TSPYL1
TRRAP
RBM6
CXCL11
STX1A
PSMG1
LYPLA1
RRS1
SLC43A1
CDS2
KDM6B
MVB12B
CTRB1
NCOA4
GAL3ST1
MUC3A
BRMS1L
RPS8
ATR
SMG1
IFIT2
DICER1
BEST3
FAM83D
MTFMT
LHX1
GNB3
CNGA3
ZNRF3
FOXN4
GABRG1
COPS8
TOMM20
ATCAY
EPHB1
TLE3
RNF113A
UFC1
CKAP2
HOXA2
CPSF2
ROCK1
LRCH1
CDK9
NALCN
GOSR1
PLEK2
F8A3
MNX1
HSPA6
SLC35C1
TIMP3
FMR1
PTPRK
GINS4
EBI3
AP1G1
FOXRED1
NTAN1
HOOK3
FCGR1B
RSPO2
SSSCA1
IBA57
GLYAT
SNRPD1
SLC46A3
TMEM147
KCNA4
ZKSCAN4
GALT
PNPLA2
SMAGP
SART3
ADAMTS6
DCTD
RAPGEF3
GTF2A1
RTN4
WISP2
IL4
C1QTNF9
KCNMB4
PTENP1
EPN1
NPBWR1
PTPRO
THBS3
UFSP2
TNFSF13
ADH4
MIR769
HEBP2
STK11
KYNU
DLEU1
MTHFSD
LYL1
UROS
HSD17B7
SPRR3
LECT2
REST
COPS3
MEX3C
PLCL1
RARS2
PSORS1C1
KIAA0355
TANC2
HMGA2
ITGB1
WRAP53
TPD52
ZNF841
CCR6
LIN54
DARS
PTS
POMGNT2
TRPC4
DTYMK
PTH
RSF1
EIF4H
LHX5
ARL6IP1
NBEAL1
EIF3H
ZNF195
OPA1
CLEC14A
ADNP
COX7A2
TAF8
LGALS3BP
CLUAP1
CEACAM21
TIGIT
ALDH1A3
RDH11
PGD
PARS2
PLAT
ZNRD1ASP
HIST1H4C
NCOA1
PITX3
DNAJC13
GNG7
CCDC134
GCSAM
GPR85
RAPGEF4
DCSTAMP
NOP14
MRS2
PPP2CA
FEM1A
MAGEF1
PLEK
VANGL2
CDC25A
CRMP1
DNAJB13
EFTUD2
FOXR2
SLC35D1
INTS2
OTULIN
TMEM11
STK35
ZNF224
PTGDS
GNMT
PRG3
IRX4
ZC3H10
PNPLA4
BHLHE22
RHOB
CALU
REN
FXYD1
RERGL
SLC39A1
FREM1
NDUFS5
SEC22A
UQCRC2
FGF1
ADAMTS16
MBD4
CLTB
CMC4
RGPD2
GCSH
CAV2
PMEL
SLC23A1
DLK1
ADCY1
IPO11
RASL10B
MFN1
TCF20
MEGF8
FAM189A2
DIDO1
STARD7
TRIM36
WIPF2
ELOVL1
SHH
TEKT4
RASSF5
ADCYAP1R1
CD3D
XIAP
HMBS
TOB1
MTMR1
FBXO2
TGFA
OS9
DDX54
MTHFR
LTC4S
PPP2R2D
STK40
UQCRC1
AFTPH
CYP19A1
ARPC1A
CATSPER4
BCAN
LPP
KDM1A
SH3GL2
HSP90B1
CD69
APOL2
NAT10
PRMT3
LIN7B
MIER2
SLC7A6OS
TRIM27
GSTO1
ZNF423
LY6K
EMSY
CEACAM3
TLNRD1
NTRK3
PRLR
FNDC1
CDC20
ABHD12
SPIN1
SDR9C7
EGLN3
ASIC1
FBXO4
ITGA8
S100A16
ADCYAP1
IGBP1
S100A5
PIGV
CEP85L
APOBEC3B
ANXA11
HOXD11
GAPDH
NUP93
MAGED2
FERMT2
LIFR
FDXR
CA5A
MCM5
WDR48
RASEF
LRG1
HIST1H3E
AGO2
HBP1
CDCA5
THAP5
NT5DC3
BTN3A3
TKFC
GNG4
STAT4
ADH7
POLN
PPL
QARS
ALOX12
TBXAS1
SIAE
TBK1
MRPS11
ADIPOQ
PLIN2
CCAR2
GAS7
SOX6
INPP5J
DOPEY2
NFATC3
SUMF2
RPS18
QKI
DNMT1
TRIP10
ONECUT1
KLC1
FSTL3
MIB2
INPP5E
CDH22
CELSR1
FSHB
IL24
SPINK5
GAREM1
FKBP10
SPINT2
CDC5L
EGR1
SDCCAG3
PSMB8
KDM4C
DUSP5
CDH8
C1ORF52
ADCY2
EWSR1
TICAM1
CREBRF
DYNLT3
ATF6
B3GALNT1
PON3
EPS15
CHRNB2
TMED2
JADE1
SDK1
CFH
CCDC103
GP5
SLC16A9
SNAI3
DAAM1
PLXNC1
COL1A2
HIST2H2BE
RHO
UBAP1
ARHGAP31
PARP10
ESRP1
MASP1
PBXIP1
P2RY1
AGO3
KCNK6
CDK11A
SLC25A15
TTC33
EFNA1
PPP4R3B
TMEM54
VAT1
CDC45
DVL2
STOX1
MIF
VTN
LATS1
NFKB1
ALDH3A2
LRIG1
ACTB
ANKRD18A
